Year,CO2_ppm,Source
-542854,209.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-541726,209.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-540552,210.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-539395,208.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-538204,203.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-537009,205,"EPICA Dome C and  Vostok Station,  Antarctica"
-535820,211.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-534672,212.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-533533,206.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-532414,205,"EPICA Dome C and  Vostok Station,  Antarctica"
